Butikk,Bonus,Link
Helly Hansen,"6,2 % (84 poeng per 100kr)",https://trumfnetthandel.no/cashback/helly-hansen-trumf
Home-tex,7 % (94 poeng per 100kr),https://trumfnetthandel.no/cashback/home-tex-trumf
Hotels.com,"7,8 % (105 poeng per 100kr)",https://trumfnetthandel.no/cashback/trumfhotels-no
Hudprodukter,"6,2 % (84 poeng per 100kr)",https://trumfnetthandel.no/cashback/hudprodukter
Hulténs,"3,9 % (53 poeng per 100kr)",https://trumfnetthandel.no/cashback/hultens-trumf
Hunkemoller,"5,4 % (73 poeng per 100kr)",https://trumfnetthandel.no/cashback/hunkemoller-trumf
Hyttefeber,"4,6 % (62 poeng per 100kr)",https://trumfnetthandel.no/cashback/hyttefeber-trumf
Høie,"8,1 % (109 poeng per 100kr)",https://trumfnetthandel.no/cashback/hoie-trumf
I Love Dogs,"5,4 % (73 poeng per 100kr)",https://trumfnetthandel.no/cashback/i-love-dogs-trumf
Iberostar Hotels and Resorts,"4,5 % (61 poeng per 100kr)",https://trumfnetthandel.no/cashback/iberostar-trumf
Ideal of Sweden,"6,2 % (84 poeng per 100kr)",https://trumfnetthandel.no/cashback/ideal-of-sweden-trumf
Inkmann,"9,3 % (126 poeng per 100kr)",https://trumfnetthandel.no/cashback/inkmann-trumf
Interhome,"6,2 % (84 poeng per 100kr)",https://trumfnetthandel.no/cashback/interhome-trumf
Interoptik,"6,2 % (84 poeng per 100kr)",https://trumfnetthandel.no/cashback/interoptik-trumf
Inzpero,"9,3 % (126 poeng per 100kr)",https://trumfnetthandel.no/cashback/inzpero-trumf
Jakt og Friluft,"4,6 % (62 poeng per 100kr)",https://trumfnetthandel.no/cashback/jakt-og-friluft
Jotex,"3,9 % (53 poeng per 100kr)",https://trumfnetthandel.no/cashback/jotex-trumf
Kajakk og Fritid,"6,2 % (84 poeng per 100kr)",https://trumfnetthandel.no/cashback/kajakk-og-fritid-trumf
Karma,"7,8 % (105 poeng per 100kr)",https://trumfnetthandel.no/cashback/karma-trumf
Kayani,"7,8 % (105 poeng per 100kr)",https://trumfnetthandel.no/cashback/kayani-trumf
Kinoklubben,35 kr (472 poeng),https://trumfnetthandel.no/cashback/kinoklubben-trumf
KitchenTime,"7,8 % (105 poeng per 100kr)",https://trumfnetthandel.no/cashback/kitchentimetrumf
Kitchn,"3,1 % (42 poeng per 100kr)",https://trumfnetthandel.no/cashback/kitchn-trumf
Klokkegiganten,"7,8 % (105 poeng per 100kr)",https://trumfnetthandel.no/cashback/klokkegiganten-trumf
Komplett,"1,5 % (20 poeng per 100kr)",https://trumfnetthandel.no/cashback/komplett-trumf
Kondomeriet,"11,7 % (158 poeng per 100kr)",https://trumfnetthandel.no/cashback/kondomeriet-trumf
Kost1,"7,8 % (105 poeng per 100kr)",https://trumfnetthandel.no/cashback/kost1-trumf
Kouture,"4,6 % (62 poeng per 100kr)",https://trumfnetthandel.no/cashback/kouture-trumf
Kvalitetstid,"6,2 % (84 poeng per 100kr)",https://trumfnetthandel.no/cashback/kvalitetstid-trumf
Kärcher,"8,5 % (115 poeng per 100kr)",https://trumfnetthandel.no/cashback/karcher-trumf
L'Occitane,"5,4 % (73 poeng per 100kr)",https://trumfnetthandel.no/cashback/loccitane-trumf
LEGO,"2,3 % (31 poeng per 100kr)",https://trumfnetthandel.no/cashback/lego-trumf
LYKO,"3,9 % (53 poeng per 100kr)",https://trumfnetthandel.no/cashback/lyko-trumf
Lampegiganten,"9,3 % (126 poeng per 100kr)",https://trumfnetthandel.no/cashback/trumflampegiganten
Lampemesteren,"3,2 % (43 poeng per 100kr)",https://trumfnetthandel.no/cashback/lampemesteren-trumf
Lappeliten,"12,4 % (167 poeng per 100kr)",https://trumfnetthandel.no/cashback/lappeliten-trumf
Lekmer,"4,6 % (62 poeng per 100kr)",https://trumfnetthandel.no/cashback/trumflekmer
Lenovo,"2,3 % (31 poeng per 100kr)",https://trumfnetthandel.no/cashback/lenovo-trumf
LensOn,"3,5 % (47 poeng per 100kr)",https://trumfnetthandel.no/cashback/lenson-trumf
Lensway,"15,6 % (211 poeng per 100kr)",https://trumfnetthandel.no/cashback/lensway-trumf
Lexington,"3,9 % (53 poeng per 100kr)",https://trumfnetthandel.no/cashback/lexington
